name,description,price,category,image
Moroccan Spice Pasta Pizza - Veg,A pizza loaded with a spicy combination of Harissa sauce and delicious pasta.,335.0,veg pizzas,https://www.dominos.co.in//files/items/MoroccanSpicePPVG_N.jpg
Pepsi (500ml),"",60.0,beverages,https://www.dominos.co.in//files/items/pepsi.png
Pepsi Black Can,PEPSI BLACK CAN,60.0,beverages,https://www.dominos.co.in//files/items/pepsi_black.png
Tikka Masala Pasta Veg,,129.0,pasta,https://www.dominos.co.in//files/items/PaneerTikkaMasala_N.jpg
Veggie Paradise,"Goldern Corn, Black Olives, Capsicum & Red Paprika",385.0,veg pizzas,https://www.dominos.co.in//files/items/Digital_Veggie_Paradise_olo_266x265.jpg
Lipton Ice Tea (250ml),,50.0,beverages,https://www.dominos.co.in//files/items/lipton.png
The 4 Cheese Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost",649.0,veg pizzas,https://www.dominos.co.in//files/items/PIZ0171.jpg
Chicken Pepperoni,"A classic American taste! Relish the delectable flavor of Chicken Pepperoni, topped with extra cheese",365.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(20).png
Stuffed Garlic Bread,"Freshly Baked Garlic Bread stuffed with mozzarella cheese, sweet corns & tangy and spicy jalapeños",139.0,side orders,https://www.dominos.co.in//files/items/stuffed-garlic-breadstick_1346070564.webp
Cheese Dip,A dreamy creamy cheese dip to add that extra tang to your snack.,25.0,side orders,https://www.dominos.co.in//files/items/_thumb_17450.png
Taco Mexicana Non Veg,A crispy flaky wrap filled with Hot and Smoky Chicken Patty rolled over a creamy Harissa Sauce.,175.0,side orders,https://www.dominos.co.in//files/items/Main_Menu-NVG.jpg
Creamy Tomato Pasta Non Veg,"Instant Fusilli Pasta, Creamy Culinary Dressing, Onion, Olives, BBQ Pepper Chicken, Parsley sprinkle",509.0,pasta,https://www.dominos.co.in//files/items/CreamyTomatoNV_N.jpg
Veg Loaded,Tomato | Grilled Mushroom |Jalapeno |Golden Corn | Beans in a fresh pan crust,119.0,pizza mania,https://www.dominos.co.in//files/items/PrimeLoadedL.jpg
Spiced Double Chicken,Delightful combination of our spicy duo- Pepper Barbecue Chicken and Peri Peri Chicken for Chicken Lovers.,569.0,chicken lovers pizza,https://www.dominos.co.in//files/items/spiced_doubled.jpg
Paneer & Onion,Creamy Paneer I Onion,89.0,pizza mania,https://www.dominos.co.in//files/items/Paneer_Special.jpg
Double Cheese Margherita,The ever-popular Margherita - loaded with extra cheese... oodies of it!,385.0,veg pizzas,https://www.dominos.co.in//files/items/Double_Cheese_Margherita.jpg
Roasted Chicken Wings Classic Hot Sauce,,175.0,chicken,https://www.dominos.co.in//files/items/Roasted-chicken-192x192.png
Pepper Barbecue & Onion,Pepper Barbecue Chicken I Onion,385.0,non veg pizzas,https://www.dominos.co.in//files/items/Pepper_Barbeque_&_Onion.jpg
Taco Mexicana Veg,A crispy flaky wrap filled with Mexican Arancini Bean Patty rolled over a creamy Harissa Sauce.,145.0,side orders,https://www.dominos.co.in//files/items/Main_Menu-VG.jpg
Taco Mexicana-veg(single),Truly irresistible! Crispy taco with a decicious veg patty & creamy sauce,85.0,side orders,https://www.dominos.co.in//files/items/taco.png
Veg Parcel,,45.0,side orders,https://www.dominos.co.in//files/items/150135_AHA_Menu_main_1.jpg
Margherita,"A hugely popular margherita, with a deliciously tangy single cheese topping",245.0,veg pizzas,https://www.dominos.co.in//files/items/Margherit.jpg
Indi Tandoori Paneer,It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum I red paprika I mint mayo,559.0,veg pizzas,https://www.dominos.co.in//files/items/IndianTandooriPaneer.jpg
Paneer Paratha Pizza,An epic fusion of paratha and pizza with melting cheese & soft paneer fillings to satisfy all your indulgent cravings,215.0,paratha pizza,https://www.dominos.co.in//files/items/paneerparatha.jpg
Red Velvet Lava Cake,A truly indulgent experience with sweet and rich red velvet cake on a creamy cheese flavoured base to give a burst of flavour in,145.0,side orders,https://www.dominos.co.in//files/items/CAKE03.jpg
Indi Chicken Tikka,The wholesome flavour of tandoori masala with Chicken tikka I onion I red paprika I mint mayo,295.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(18).png
Tomato,Juicy tomato in a flavourful combination with cheese I tangy sauce,59.0,pizza mania,https://www.dominos.co.in//files/items/pizza_mania_tomato.png
Cheesy,Orange Cheddar Cheese I Mozzarella,95.0,pizza mania,https://www.dominos.co.in//files/items/PrimeCheesyL.jpg
Crinkle Fries,Crispy wavy masala coated fries served with a spicy tomato chilli sauce,75.0,side orders,https://www.dominos.co.in//files/items/crinkle_fries.png
Creamy Tomato Pasta Veg,"",145.0,pasta,https://www.dominos.co.in//files/items/CreamyTomatoVeg_N_(3).jpg
Capsicum,Capsicum,69.0,pizza mania,https://www.dominos.co.in//files/items/CapsicumVeg.jpg
